t,k,exportVal,rca,distance,importVal,imports_norm,density,code,description
2010,721220,4013.662,1.2529,0.7589,1074.972,0.0111,0.24109999999999998,721220,"Iron or non-alloy steel: flat-rolled, of a width less than 600mm, electrolytically plated or coated with zinc"
2010,721230,3790.839,0.3436,0.78,2651.783,0.0275,0.21999999999999997,721230,"Iron or non-alloy steel: flat-rolled, width less than 600mm, plated or coated with zinc (not electrolytically)"
2010,721240,1007.704,0.1724,0.7888,6011.665,0.0625,0.21120000000000005,721240,"Iron or non-alloy steel: flat-rolled, width less than 600mm, painted, varnished or coated with plastics"
2010,721250,12757.685,3.2704,0.7382,2868.395,0.0298,0.26180000000000003,721250,"Iron or non-alloy steel: flat-rolled, width less than 600mm, plated or coated, (excluding tin, zinc or plastic)"
2010,721260,336.793,0.1723,0.7882,1753.178,0.0182,0.2118,721260,"Iron or non-alloy steel: flat-rolled, width less than 600mm, clad"
2010,721710,20492.036,1.1709,0.731,3782.502,0.0393,0.269,721710,"Iron or non-alloy steel: wire, (not plated or coated), whether or not polished"
2010,721720,46604.713,3.533,0.7129,11526.666,0.1198,0.2871,721720,"Iron or non-alloy steel: wire, plated or coated with zinc"
2010,721730,5761.219,0.541,0.7916,4555.681,0.0473,0.20840000000000003,721730,"Iron or non-alloy steel: wire, plated or coated with base metals (other than zinc)"
2010,721790,12019.086,3.2085,0.7211,4140.605,0.043,0.27890000000000004,721790,"Iron or non-alloy steel: wire, n.e.c. in heading no. 7217"
2010,722511,1173.605,0.0668,0.8126,16672.203,0.1734,0.1874,722511,"Steel, alloy: flat-rolled, width 600mm or more, of silicon-electrical steel, grain-oriented"
2010,722519,348.567,0.0214,0.8145,4297.648,0.0446,0.1855,722519,"Steel, alloy: flat-rolled, width 600mm or more, of silicon-electrical steel, (other than grain-oriented)"
2010,722599,2469.425,0.2809,0.8108,3827.102,0.0397,0.18920000000000003,722599,"Steel, alloy: flat-rolled, width 600mm or more, n.e.c. in heading no. 7225, (other than plated or coated with zinc)"
2010,731700,7242.721,0.5107,0.7348,16399.71,0.1705,0.2652,731700,"Iron or steel: nails, tacks, drawing pins, corrugated nails, staples (not those of heading no. 8305) and the like, with heads of other material or not, but excluding articles with heads of copper"
2010,732010,1587.878,0.1656,0.7662,8527.074,0.0886,0.2338,732010,Iron or steel: leaf-springs and leaves therefor
2010,732020,4955.204,0.3169,0.7936,7340.783,0.0763,0.20640000000000003,732020,Iron or steel: helical springs and leaves for springs
2010,732090,7024.576,0.611,0.7812,10928.042,0.1136,0.2188,732090,Iron or steel: springs n.e.c. in heading no. 7320
2010,830520,437.645,0.171,0.802,3710.813,0.0385,0.19799999999999995,830520,"Stationery: staples in strips, (e.g. for offices, upholstery, packaging), of base metal"
2011,441011,17308.471,0.5707,0.7606,4718.704,0.0416,0.23939999999999995,441011,"Particle board of wood, whether or not agglomerated with resins or other organic binding substances"
2011,441112,1367.268,0.1747,0.7611,8615.264,0.0761,0.2389,441112,"Medium density fibreboard (MDF), of a thickness not exceeding 5 mm"
2011,441113,546.284,0.0452,0.8015,18147.768,0.1603,0.1985,441113,"Medium density fibreboard (MDF), of a thickness exceeding 5 mm but not exceeding 9 mm"
2011,441114,5236.729,0.2371,0.7758,22264.792,0.1967,0.22419999999999995,441114,"Medium density fibreboard (MDF), of a thickness exceeding 9 mm"
2011,540411,17.668,0.0232,0.8145,728.998,0.0064,0.1855,540411,Elastomeric monofilament: of 67 decitex or more and of which no cross-sectional dimension exceeds 1mm
2011,540412,24.282,0.0401,0.8096,1534.4,0.0135,0.1904,540412,Monofilament of polypropylene: of 67 decitex or more and of which no cross-sectional dimension exceeds 1mm
2011,540419,94.415,0.0172,0.8165,2818.584,0.0249,0.1835,540419,Monofilament n.e.c. in heading no 5404: of 67 decitex or more and of which no cross-sectional dimension exceeds 1mm
2011,540490,1864.274,0.6372,0.8017,2636.059,0.0232,0.19830000000000003,540490,"Filament, synthetic: strip and the like (e.g.. artificial straw), of synthetic textile materials of an apparent width not exceeding 5mm"
2011,540710,7314.116,0.4175,0.8178,12285.801,0.1085,0.18220000000000003,540710,"Fabrics, woven: from high tenacity yarn, of nylon, other polyamides or of polyesters"
2011,540720,2550.578,0.3286,0.7614,4345.894,0.0384,0.23860000000000003,540720,"Fabrics, woven: from strip or the like, of synthetic textile materials"
2011,540730,53.34,0.1082,0.8073,37.163,0.0003,0.19269999999999998,540730,"Fabrics, woven: from synthetic filament yarn, adhesive or thermal bonded"
2011,540741,776.193,0.2596,0.8421,937.569,0.0082,0.15790000000000004,540741,"Fabrics, woven: containing 85% or more by weight of filaments of nylon or other polyamides, unbleached or bleached"
2011,540742,346.031,0.0395,0.8455,5785.034,0.0511,0.15449999999999997,540742,"Fabrics, woven: containing 85% or more by weight of filaments of nylon or other polyamides, dyed"
